pH,Light,Temp,TN0,TP0,COD0,Time,N_rem,P_rem,COD_rem,Biomass
6.750883229195478,137.2098979102088,28.06158436038256,77.66648170239189,7.7673802466501645,411.57346053240667,7.349283782903161,85.95919999999983,72.48500000000008,88.92899999999973,1.3088000000000035
7.349744762139775,146.9844138160361,28.584014210344645,79.6509688909746,7.706271923127206,397.8816890695625,7.305885759329594,85.94153333333314,77.01276666666678,86.1399999999997,1.2776000000000025
7.836697052721073,132.17920802861212,26.67410141706217,36.88614468707307,4.983289615521371,550.5681293575899,8.831311755171019,93.47946666666654,89.11950000000013,81.48999999999964,2.3846000000000074
7.071258923641386,136.78473534841888,28.627110065265303,78.31457618282384,8.068334859953021,388.43116634128086,9.036066896320444,85.95919999999983,72.48500000000008,88.92899999999973,1.3088000000000035
7.906491349127624,132.9204453969215,27.056666332007698,71.16284580985855,8.07595365427471,599.3916205635572,8.84749938076953,93.4263999999999,88.79820000000005,84.69099999999963,2.4347333333333423
7.853077211095842,132.918438922153,27.36662296371779,33.91026882212426,4.765574163590646,534.5077368636479,9.886374342573717,93.80706666666656,88.96220000000014,81.70299999999963,2.407666666666675
7.8811703891513245,132.21164720036455,26.63986133327862,36.52360961114625,7.988864155655594,550.8566208953362,6.039864965695987,93.33079999999987,89.17716666666675,83.11099999999963,2.398666666666675
7.868855079819009,146.9054968986763,29.113908963664695,79.6509688909746,7.706004013496387,397.8816890695625,8.284284679687861,89.18679999999983,85.84920000000004,85.81899999999966,2.268266666666675
6.575079494585603,131.25906978135532,27.375357094043576,74.90500981960356,7.988605562761221,566.7047198096009,8.855509961247934,90.14786666666652,75.3499000000001,87.86499999999974,1.4747333333333383
7.354364467606198,147.20534311867615,27.71905148426255,62.06051132197554,8.54346640591591,576.3330018761916,9.272534181815438,88.65793333333315,78.70026666666682,85.93199999999966,1.4248666666666703
7.303180971084838,146.9397963308743,29.330038018264254,78.32770861374144,8.219258099239598,552.4129900874358,8.972250059121517,88.65793333333315,78.70026666666682,85.93199999999966,1.4248666666666703
7.906427575391316,137.80269007701014,28.150291384780267,69.52370290203174,8.075919964839361,516.8964059639668,8.880241152977245,92.12079999999989,87.62080000000006,85.61099999999963,2.4155333333333417
6.575079494585603,131.25906978135532,27.375357094043576,47.409414416031915,7.988605562761221,566.7047198096009,8.855509961247934,90.42153333333317,75.64356666666679,86.4739999999997,1.458533333333338
7.9026026129558,136.78473534841888,28.627110065265303,76.23991486474888,8.068334859953021,388.43116634128086,9.036066896320444,89.18679999999983,85.84920000000004,85.81899999999966,2.268266666666675
7.8547647652013755,132.92497165683062,27.384645086678848,78.68029507536029,5.490808790193042,534.8511122358784,7.6870071781101,93.57506666666656,88.74053333333345,83.06999999999964,2.422266666666675
7.931173467765236,131.15582113317268,26.987690289825377,79.55399168909422,8.636971710732222,567.214873210412,7.28565398475801,93.09879999999988,88.95550000000004,84.47799999999965,2.413800000000008
6.901118086948226,156.72330017825794,29.376144611380347,60.740901808219505,8.537737600767613,567.5083099566718,8.858538733125755,88.84226666666649,74.1725000000001,88.7209999999997,1.4555333333333382
6.528331029991872,132.19726929727892,26.702954155819413,52.76232081935518,7.953581227277598,551.6633729606343,8.854542963773214,89.65646666666649,75.61610000000007,87.65199999999975,1.431800000000004
8.22355842567329,130.20501428377742,27.44400196875205,35.33103294952519,8.23197746951573,550.7010185706763,7.582539573109732,93.65839999999989,89.01986666666674,83.32399999999964,2.420133333333342
8.101365586828464,131.2094312095527,28.21230074365677,73.89952665857672,8.025552846385631,599.3916205635572,8.369676708827436,92.88239999999988,88.20950000000006,85.19099999999963,2.428333333333342
6.589569088595926,131.07927674143482,28.228858311843585,73.41950536454968,7.90188394480202,593.8726919182977,8.937550949482231,89.60386666666649,74.7612000000001,88.34099999999972,1.4683333333333382
7.800537985353334,145.16109864395122,26.67069203558484,70.57506432214451,7.679237578250431,592.5216182072397,7.374559262282055,92.33719999999987,88.36680000000005,84.89799999999966,2.4010000000000082
7.349744762139775,146.9054968986763,29.151215661681494,79.6509688909746,7.706004013496387,397.8816890695625,8.567553882545823,85.94153333333314,77.01276666666678,86.1399999999997,1.2776000000000025
6.661474924814357,133.38779739572666,26.65481560442252,34.469731472785035,8.379494398710372,547.7126717151207,6.051732016438303,89.93013333333316,75.90976666666678,86.26099999999973,1.41346666666667
6.624497658023922,131.2360964269697,26.939154636482904,68.9189618733989,4.685229839718893,585.9026347713184,8.855509961247934,89.84679999999982,75.91843333333343,85.9589999999997,1.4156000000000033
7.085568140900712,135.99523814188564,26.58239966833621,58.33311439946237,8.545082478434106,547.9499723466258,7.997601295190076,88.89486666666649,75.02740000000009,88.03199999999973,1.4190000000000038
